"industry","CAR","rate_beta","RateVulnerability","n_estimation","RateVulnerability_z"
"Agric",2.18,0.326138561821187,-0.326138561821187,230,-1.1969369475665
"Food",-2.05,-1.02175233614662,1.02175233614662,230,-0.344521867242271
"Soda",-1.96,-1.79683458775108,1.79683458775108,230,0.145645252927035
"Beer",-2.03,-2.525779110462,2.525779110462,230,0.606634569507002
"Smoke",-3.53,-1.27828615085468,1.27828615085468,230,-0.182288193433845
"Toys",-4.82,-1.07747806743555,1.07747806743555,230,-0.309280547796911
"Fun",-5.83,-1.92244510217006,1.92244510217006,230,0.225082169445618
"Books",0.84,-2.60593044479772,2.60593044479772,230,0.657322801172405
"Hshld",-3.48,-2.64349260920328,2.64349260920328,230,0.681077361305709
"Clths",-2.08,-0.608913187398666,0.608913187398666,230,-0.605604063636313
"Hlth",-0.76,-3.07760875091012,3.07760875091012,230,0.95561526816523
"MedEq",-4.67,-1.51737731191273,1.51737731191273,230,-0.0310853686611709
"Drugs",-1.28,-2.43082320536405,2.43082320536405,230,0.546583829797014
"Chems",-1.24,-1.27700301146424,1.27700301146424,230,-0.183099659234394
"Rubbr",-10.62,-3.1409679768044,3.1409679768044,230,0.995684059868907
"Txtls",-4.08,-2.36792567987718,2.36792567987718,230,0.506807020471483
"BldMt",-4.45,-3.58765486350757,3.58765486350757,230,1.27817178864795
"Cnstr",-3.31,-6.62014263167796,6.62014263167796,230,3.19593702349334
"Steel",-3.49,-0.912135468500249,0.912135468500249,230,-0.413844296216714
"FabPr",4.75,-1.61992003894654,1.61992003894654,230,0.0337633272035891
"Mach",-1.46,-0.589322154869968,0.589322154869968,230,-0.617993561622955
"ElcEq",-5.06,-3.01241277596113,3.01241277596113,230,0.914384904263564
"Autos",-4.62,0.203488530730006,-0.203488530730006,230,-1.11937226020049
"Aero",1.39,-2.07900175058412,2.07900175058412,230,0.324089624896473
"Ships",-1.68,-0.56553776249786,0.56553776249786,230,-0.633034967989672
"Guns",-0.44,-3.41754949816109,3.41754949816109,230,1.17059603538482
"Gold",-10.3,-3.96180811357686,3.96180811357686,230,1.51478876795409
"Mines",0.61,0.778650915717782,-0.778650915717782,230,-1.4831087401619
"Coal",0.06,2.44937595050687,-2.44937595050687,230,-2.53968625461549
"Oil",0.78,2.06754971357342,-2.06754971357342,230,-2.29821682788649
"Util",-0.35,-2.96018103251433,2.96018103251433,230,0.881353205739001
"Telcm",-3.59,-1.89908650815192,1.89908650815192,230,0.210310040762015
"PerSv",-2.29,-2.33220816297809,2.33220816297809,230,0.484219027569069
"BusSv",-6.4,-1.98567938891833,1.98567938891833,230,0.265071948810575
"Hardw",-3.36,-1.26472307310088,1.26472307310088,230,-0.190865573124129
"Softw",-8.49,-2.41508302708881,2.41508302708881,230,0.536629637399815
"Chips",-7.07,-1.67475683539196,1.67475683539196,230,0.0684424783998875
"LabEq",-3.68,-2.46714028655583,2.46714028655583,230,0.569550991106509
"Paper",-2.58,-1.29336860351065,1.29336860351065,230,-0.172749951049686
"Boxes",0.13,0.100955856271162,-0.100955856271162,230,-1.05452992165034
"Trans",-1.89,-0.569173922471669,0.569173922471669,230,-0.630735436476536
"Whlsl",-1.79,-1.66150754158535,1.66150754158535,230,0.0600635377442096
"Rtail",-6.58,-3.00631086295612,3.00631086295612,230,0.910526014295436
"Meals",-2.79,-1.83093938440903,1.83093938440903,230,0.167213350928484
"Banks",-3.11,1.4544998915758,-1.4544998915758,230,-1.91052008325476
"Insur",-1.83,-0.110922984351011,0.110922984351011,230,-0.920536347526315
"RlEst",-2.93,-1.87855053357632,1.87855053357632,230,0.197322955202057
"Fin",-0.35,-0.43720587242708,0.43720587242708,230,-0.714192900391896
"Other",-2.26,-0.69575738253925,0.69575738253925,230,-0.55068322272251
