"dropped_industry","coefficient","p_value","R_squared"
"Agric",-1.04010597696188,0.0124537140843182,0.128229860096085
"Food",-1.13130185276876,0.00713999907685595,0.147030222116249
"Soda",-1.13634107745118,0.00679436906246493,0.148698938323902
"Beer",-1.15150066102917,0.00624556590001135,0.151527945006333
"Smoke",-1.13733858390697,0.00674630269753304,0.148937581534891
"Toys",-1.14951516929202,0.00591695351425376,0.153341099090088
"Fun",-1.11981291752427,0.00702622276480781,0.147570612226476
"Books",-1.19434067001996,0.00383336636332507,0.167830099663047
"Hshld",-1.13378108855794,0.0072269247147085,0.146623030864201
"Clths",-1.13389309864327,0.00716578029561699,0.146908947831376
"Hlth",-1.19674757533635,0.00441710065731406,0.163113755648848
"MedEq",-1.13474385867183,0.00663360444018338,0.149503723354868
"Drugs",-1.15766639485001,0.00580327210222194,0.153991418857875
"Chems",-1.12843582292775,0.0071069406736352,0.147186359018966
"Rubbr",-0.987208405918291,0.0120086053938336,0.129464312669891
"Txtls",-1.12504912071052,0.00748016155270514,0.145463639625414
"BldMt",-1.1258397065305,0.00834536047009676,0.141774611191534
"Cnstr",-1.39773765530866,0.00298872141134667,0.176074993460037
"Steel",-1.1442833513883,0.00647895646791955,0.150296161703641
"FabPr",-1.13883864327108,0.00329260200747871,0.172873114873396
"Mach",-1.1258731709704,0.00753557527008547,0.145215087401002
"ElcEq",-1.10785573895966,0.00865400302401894,0.140549110520622
"Autos",-1.21065997451238,0.00410335348959733,0.165567249286981
"Aero",-1.16444715613683,0.00451419321830061,0.162388963620795
"Ships",-1.12890471145591,0.007415429821818,0.145756288419034
"Guns",-1.22622037718548,0.00357759196845535,0.170122361335511
"Gold",-0.935253322302003,0.0204792195663568,0.111317059810395
"Mines",-1.0784962205598,0.0114317408795423,0.131133212882536
"Coal",-1.13889453288942,0.0113920369289087,0.131251119061742
"Oil",-1.08352290790891,0.0142653932603182,0.123618799531271
"Util",-1.19786547360478,0.00422081565653784,0.16462787246927
"Telcm",-1.13066234682304,0.00710499497966669,0.147195570867618
"PerSv",-1.14368781920235,0.0065758461213624,0.149797543110479
"BusSv",-1.11442310303393,0.00703719101602139,0.147518144690459
"Hardw",-1.13687124931394,0.00679078850097097,0.148716658120025
"Softw",-1.07429753357025,0.00790346507527632,0.143609146719138
"Chips",-1.12723605702178,0.00593832860499576,0.153220191430844
"LabEq",-1.12974300759616,0.00733179548244625,0.146138133936107
"Paper",-1.13360206897528,0.00698912803801459,0.147748655867828
"Boxes",-1.09516618369269,0.00947996622038247,0.137469861196107
"Trans",-1.13172719671501,0.00728526102366991,0.14635245141596
"Whlsl",-1.13472857805328,0.00684717466108841,0.148438668640458
"Rtail",-1.07791906273697,0.00982878222156482,0.136248110085647
"Meals",-1.13390491851767,0.00697297438730381,0.147826478806975
"Banks",-1.2455068014001,0.00421596271780751,0.164666173663346
"Insur",-1.13626881646964,0.00733044602842559,0.146144330096752
"RlEst",-1.13354428728536,0.00699696417511108,0.147710967558055
"Fin",-1.10930098568654,0.00829016174054998,0.141998476283875
"Other",-1.13523934778605,0.00706499792915806,0.147385487082863
