"industry","CAR","RateVulnerability","MktBeta","SMBBeta","HMLBeta","RMWBeta","CMABeta","HistVol","PreMomentum","n_estimation","TechGrowth","Finance","Defensive","CAR_z","RateVulnerability_z","MktBeta_z","SMBBeta_z","HMLBeta_z","RMWBeta_z","CMABeta_z","HistVol_z","PreMomentum_z","fitted_m2","rv_resid","car_resid"
"Agric",2.18,0.636955182399457,0.833265999397271,-0.0173257150472888,0.684145019210927,-0.294154217297654,0.0210095953321512,1.63175801824658,9.84,230,0,0,0,1.66584523136903,-0.0182208908983207,-0.536997465356429,-0.753702746049593,1.53927185343412,-0.717256536111323,-0.118147556494518,-0.347587719790149,1.37689914161249,0.011043186937032,-0.232525009111983,2.42424192323798
"Food",-2.05,0.332602304086111,0.609737683837801,0.135747104655499,0.0796281444301243,0.362955862027877,0.407975895359995,1.04160945570377,2.38,230,0,0,1,0.231125123723976,-0.23389562964146,-1.43200275853094,-0.371279575340774,-0.234572974697373,0.782548630140265,0.707250430609173,-1.34821108324185,0.60212048297355,-0.770338236579104,-0.958334925649282,-0.227522735394387
"Soda",-1.96,0.500076088676921,0.684750264093271,-0.0396731048180207,-0.0303377980135694,0.477086592331418,0.320439457274509,1.2095146506538,-2.79,230,0,0,1,0.261651083461105,-0.1152180441423,-1.1316530859837,-0.809533426308718,-0.557248033760167,1.04304358269527,0.520535463986013,-1.06352029252298,0.0651760238363722,-3.36509426060156,-0.291323440424645,1.72493313242611
"Beer",-2.03,1.14196654704269,0.620489161300033,-0.080167494445967,-0.135203010057646,0.467368044942576,0.465249970689699,1.10152270550468,3.45,230,0,0,1,0.237908670332227,0.339647234861966,-1.38895394292984,-0.910700915791867,-0.864955927113427,1.02086171691532,0.829415865911837,-1.246625480334,0.713248253046427,-2.86808617899454,-0.00113294521303597,0.83933001958027
"Smoke",-3.53,1.26911598017038,0.536334252148408,0.132176526974617,0.266194337320385,0.279241068103959,0.375655654524337,1.35405187561933,-1.11022302462516e-15,230,0,0,1,-0.270857325286587,0.429749621680595,-1.72590941520997,-0.380199980940123,0.312871588339132,0.591475803274403,0.638311451358166,-0.818450943263163,0.354939087858176,-2.08275875065389,-0.500723191265975,-0.897506080911145
"Toys",-4.82,-0.600960563069034,0.998642213875462,0.612918208198704,-0.0393504362431161,-0.54038918664122,-0.919440498916795,2.78160314437223,-22.15,230,0,0,0,-0.708396081518767,-0.895449837999189,0.125167356816915,0.820841186149947,-0.583693981554592,-1.2792696458666,-2.12412485919169,1.60202627671758,-1.94550961037944,-4.36641125267792,-1.11341907733124,0.768814438094309
"Fun",-5.83,0.558496855180108,1.13960095265428,0.136833499107775,0.0656055764008815,-0.674374421217686,-0.69125765630554,2.81923798593528,4.16,230,0,0,0,-1.05096518523544,-0.073819113984075,0.689564833756159,-0.368565426533123,-0.275719650354382,-1.58508103628916,-1.6374115227348,1.6658378389885,0.786987240664879,-3.27883296698141,0.553269048686388,-3.15859137240355
"Books",0.84,1.62742418637641,0.942822286381795,0.818202758584967,0.18136817057915,0.170850390262572,-0.0607357180216652,1.72736635775109,-9.01,230,0,0,0,1.21134760861622,0.683658929820759,-0.0983351128653117,1.3337053824761,0.0639646290111274,0.3440820960178,-0.292510070988792,-0.185479490911612,-0.580819050792881,-2.00755981775632,0.0712899519090774,2.76929183575738
"Hshld",-3.48,0.813350565483745,0.726355324852729,0.0968938376696708,-0.179601366147023,0.600332687682077,0.373750725889892,1.26946845548977,-9.96,230,0,0,1,-0.25389845876596,0.106778840903235,-0.965066810283629,-0.468347033704488,-0.995234828517526,1.32434368193736,0.634248244147786,-0.961865926733795,-0.679483893380951,-4.75065129615719,-0.062766638906438,1.33956168300005
"Clths",-2.08,-1.77518883673897,1.21214397117808,0.571552906747898,-0.0055989396119341,0.401981845374678,-0.395006246765503,2.2074276829622,-14.22,230,0,0,0,0.2209498038116,-1.72754768951954,0.98002640413553,0.717497890005939,-0.484656352931522,0.871622551364631,-1.00550813193983,0.628486022833034,-1.12191781909166,-3.55711286921514,-0.973181311904357,2.54555148310256
"Hlth",-0.76,1.23303369755833,0.912360307142018,0.648802298346124,-0.304376694664088,0.0564316751352497,0.426113109883078,1.8756965194492,-6.57,230,0,0,1,0.668663879956156,0.40418049639834,-0.220304593966324,0.910490723924336,-1.36136533769257,0.0829298393974703,0.7459370561834,0.0660209527397008,-0.327406191935104,-2.6984991303402,-0.252553141996105,2.21577277469246
"MedEq",-4.67,-0.29969458702795,0.891232538072223,0.149140504121047,-0.231913486654142,0.00110943755058806,0.163064496025782,1.67043403895176,-5.09,230,0,0,1,-0.657519481956886,-0.681962582564193,-0.304899984501554,-0.337818727751176,-1.14873523236281,-0.0433390771031527,0.18485513154912,-0.282010791573641,-0.173696752955795,-2.76317346529244,-0.741653629001016,-1.0925780841246
"Drugs",-1.28,1.25267181664205,0.50091014822733,-0.13792049960172,-0.226812501564569,-0.0451725324706855,0.221911305341793,1.13158733532805,2.91,230,0,0,1,0.492291668141633,0.41809673148131,-1.86774719730919,-1.05498575612151,-1.13376731931192,-0.148974251370233,0.310375203848479,-1.19564955168788,0.657165079364788,-2.0990884049801,-0.402318662893011,1.26078697570305
"Chems",-1.24,0.877283119934938,1.02186870375344,0.306188779025698,0.409856234749714,0.048856364520093,-0.0440938190486494,1.49898486566474,-3.99,230,0,0,0,0.505858761358135,0.152083610336848,0.218166005917009,0.0545363576258334,0.734421299167263,0.0656397530724604,-0.257012949113006,-0.57271055655533,-0.0594532510117153,-1.91515254053062,0.247502628690172,0.403423765741729
"Rubbr",-10.62,1.32538059425775,0.970514515072615,0.117929675171275,-0.0490072673709112,0.238159569740184,-0.0676638318652888,1.7117287890094,-21.59,230,0,0,0,-2.67562459791151,0.469620629344547,0.0125443128398806,-0.4157930160056,-0.612030196252303,0.497710321018237,-0.307287717570783,-0.211993690256758,-1.887349282117,-7.17600662953194,0.844718941518138,-4.3713954115471
"Txtls",-4.08,0.749264900870831,1.19740583676866,1.45461057919324,0.213511744420604,0.67051161731255,-0.0285035963848248,2.32857700080553,-16.75,230,0,0,0,-0.457404857013486,0.0613655724328756,0.921015051256446,2.92364863362582,0.158284100633817,1.48452189945889,-0.223759049731346,0.833900126322391,-1.38467787356305,-2.61659209404966,-0.295240320845796,-1.13926876013086
"BldMt",-4.45,1.98660226122486,1.18510631469838,1.00442277336847,0.23733212635945,0.597187853988635,-0.133803909027079,1.8270604681929,-7.45,230,0,0,0,-0.582900469266126,0.938184656288333,0.871767879465851,1.79894048196159,0.228180679321815,1.31716583157587,-0.448364308871619,-0.0164436541101364,-0.418800993490367,-2.76650707717816,1.04654311139027,-2.83247416365472
