"dropped_industry","coefficient","std_error","t_value","p_value","R_squared","Adj_R_squared"
"Agric",-1.07522259002968,0.423325507037127,-2.53994283868036,0.0151834805503104,0.55181719709866,0.45988226317018
"Food",-1.15313296077502,0.435707621313481,-2.64657514435666,0.0116662923534547,0.569456070215768,0.481139366670285
"Soda",-1.07982083127139,0.427361178897716,-2.52671717645612,0.0156816365359116,0.570126079886713,0.481946814222449
"Beer",-1.09783880499484,0.428209507397116,-2.56378895384198,0.0143217145410029,0.566911007980671,0.478072240386963
"Smoke",-1.13261351455705,0.428717053597111,-2.64186718268834,0.011804221258036,0.570885138905549,0.482861577655405
"Toys",-1.13097715879815,0.445846598213734,-2.5366957229894,0.0153044274929894,0.561619480874853,0.471695271823541
"Fun",-1.01444767645869,0.421283114599359,-2.40799510187687,0.0208677976884186,0.578861446687569,0.492474051136301
"Books",-1.10673331043603,0.418525570374461,-2.64436246857228,0.0117309310201321,0.57355972319341,0.4860847946177
"Hshld",-1.09434431405864,0.427065811890824,-2.56247230189993,0.0143681027923404,0.56922449188431,0.480860285091348
"Clths",-1.03204092701873,0.435323143866154,-2.37074674655029,0.0227897225009962,0.571082239642736,0.483099109313041
"Hlth",-1.07483067688073,0.424490983771629,-2.53204595143762,0.0154791540044169,0.572116555842392,0.484345592938268
"MedEq",-1.16042936702511,0.429473004065544,-2.7019844228626,0.0101508878935098,0.571267884464947,0.483322835124423
"Drugs",-1.08227216904605,0.429861581298852,-2.51772248586603,0.0160289128637365,0.565163755866251,0.475966577582405
"Chems",-1.10499387778296,0.429151884392478,-2.57483170404163,0.0139380244435862,0.564284765309513,0.474907281270439
"Rubbr",-0.958544619058909,0.418832207108242,-2.2886124867928,0.0276026281918671,0.527979748868033,0.431155081969169
"Txtls",-1.12200638096221,0.426620886061826,-2.62998464824247,0.0121590488413817,0.570805805236468,0.482765970413179
"BldMt",-1.01460323134768,0.436019085021401,-2.32696977311871,0.0252516834475657,0.570482237381765,0.482376029665204
"Cnstr",-1.14622092217048,0.507664297291707,-2.25783244613685,0.0296289770970073,0.565479723345735,0.476347358903835
"Steel",-1.12173683337155,0.450819844237782,-2.48821529865907,0.0172180201674485,0.565200573854187,0.476010947978123
"FabPr",-1.03997230821982,0.402823013060907,-2.58171026604823,0.013703809996278,0.558148510501696,0.467512307527685
"Mach",-1.10990748676447,0.428755432801024,-2.58867270675392,0.0134704207612465,0.566179434915839,0.477190601052422
"ElcEq",-1.06272027399399,0.428431761968346,-2.4804890027563,0.0175423873955011,0.566185355940796,0.4771977366466
"Autos",-0.944346665839987,0.42905668956641,-2.20098343366773,0.0337233763778524,0.586175259586975,0.501288133348406
"Aero",-1.22419519039841,0.421669444184726,-2.90321057710339,0.00605013314485912,0.576591919641894,0.489738980081257
"Ships",-1.19154850827888,0.421401775705695,-2.82758302639677,0.00736508363306894,0.588853025890781,0.504515185047864
"Guns",-1.16650077859843,0.43389637425141,-2.68843172660975,0.0105037453072104,0.567147872707576,0.478357692750155
"Gold",-0.738126175545339,0.420491405726243,-1.75538944552386,0.0870454736245457,0.568284797864974,0.479727833324456
"Mines",-1.10675395914905,0.422391458718042,-2.62020913611285,0.0124582893283882,0.567436142802487,0.478705095172228
"Coal",-1.16348757208195,0.440232702826119,-2.64289219000047,0.0117740643862993,0.561290983406733,0.471299390259396
"Oil",-1.09759216995059,0.426773087891551,-2.57184016774156,0.0140410265611299,0.556964845235183,0.46608583912958
"Util",-1.23367577755309,0.406830717648012,-3.03240567645745,0.00429865611688452,0.612332113243706,0.532810495447543
"Telcm",-1.11076006352973,0.427020600968215,-2.60118612781496,0.0130601046700378,0.569886716504657,0.481658350659459
"PerSv",-1.09773255295087,0.429170649828218,-2.55779968502099,0.0145338413841535,0.565302639463945,0.476133950123216
"BusSv",-1.08260131092149,0.421387453985736,-2.56913512892136,0.0141347644317338,0.567224854077062,0.478450465169793
"Hardw",-1.10996343117461,0.431502102730356,-2.57232450120463,0.0140243031912966,0.565767743763653,0.47669446043312
"Softw",-1.08237210049023,0.431579338487495,-2.5079330819763,0.0164148406660644,0.528270603460947,0.43150559904268
"Chips",-1.12340538649419,0.427591664801221,-2.62728551319269,0.0122410047861794,0.550803250790978,0.458660327876307
"LabEq",-1.14025350417409,0.423192351710836,-2.69440952693118,0.0103467332007772,0.579610051303855,0.493376215673876
"Paper",-1.10738894312199,0.434319647852622,-2.54970952522453,0.0148249456580332,0.565679982726646,0.476588697132112
"Boxes",-0.983120271787654,0.426467141104161,-2.30526616714777,0.0265588143460224,0.578115437691222,0.491575014653524
"Trans",-1.08482603576327,0.43173086527095,-2.51273680671973,0.0162244161589974,0.565482099875427,0.476350222926797
"Whlsl",-1.1151190354885,0.428989378826287,-2.59940942719715,0.0131176551350844,0.567522199776633,0.478808804859019
"Rtail",-1.10359894941815,0.445330564407891,-2.4781567617877,0.0176413876678499,0.54917109343597,0.456693369012579
"Meals",-1.10168898118723,0.426815383619078,-2.58118386419376,0.0137216055661353,0.570318563552231,0.482178781716791
"Banks",-1.17142884349455,0.420312544388256,-2.78704230728947,0.00817521534141249,0.588822401280739,0.504478278466531
"Insur",-1.14163663809994,0.431907375621715,-2.64324413644613,0.0117637261018065,0.569430848717329,0.48110897153114
"RlEst",-1.0984675778701,0.429433600031844,-2.55794511139474,0.0145286567976687,0.56545720498664,0.476320221394156
"Fin",-1.12758229257996,0.425775583146951,-2.64830191587288,0.0116160764956068,0.56879372747496,0.480341158751875
"Other",-1.09592898116856,0.428292192593844,-2.55883483313423,0.0144969742430027,0.567084206756392,0.478280967116677
