"rv_quartile","industry","CAR","RateVulnerability","MktBeta","SMBBeta","HMLBeta","RMWBeta","CMABeta","HistVol","PreMomentum","n_estimation","TechGrowth","Finance","Defensive","CAR_z","RateVulnerability_z","MktBeta_z","SMBBeta_z","HMLBeta_z","RMWBeta_z","CMABeta_z","HistVol_z","PreMomentum_z","fitted_m2","rv_resid","car_resid","ols_fitted","ols_resid","ols_abs_resid","ols_resid_sq","hat","cooks_d","dfbetas_rate_vulnerability","log_ols_resid_sq","fgls_h_hat","fgls_fitted","h_white","w_white","fgls_white_fitted","h_group","w_group","wls_group_fitted"
"Q3","Agric",2.18,0.636955182399457,0.833265999397271,-0.0173257150472888,0.684145019210927,-0.294154217297654,0.0210095953321512,1.63175801824658,9.84,230,0,0,0,1.66584523136903,-0.0182208908983207,-0.536997465356429,-0.753702746049593,1.53927185343412,-0.717256536111323,-0.118147556494518,-0.347587719790149,1.37689914161249,0.011043186937032,-0.232525009111983,2.42424192323798,0.011043186937028,2.16895681306297,2.16895681306297,4.70437365693228,0.118138761924285,0.0175192854484248,-0.0535930275216459,1.54849264343896,1.84491733719948,0.155138793069266,2.09539508685923,0.629158000848288,0.195788779248447,1.30587724657678,2.00227958237704,0.010792147948814
"Q2","Food",-2.05,0.332602304086111,0.609737683837801,0.135747104655499,0.0796281444301243,0.362955862027877,0.407975895359995,1.04160945570377,2.38,230,0,0,1,0.231125123723976,-0.23389562964146,-1.43200275853094,-0.371279575340774,-0.234572974697373,0.782548630140265,0.707250430609173,-1.34821108324185,0.60212048297355,-0.770338236579104,-0.958334925649282,-0.227522735394387,-0.7703382365791,-1.2796617634209,1.2796617634209,1.63753422876149,0.120549919231757,0.00625687668751831,0.12940340060549,0.493191597475997,1.55031214934008,-0.637328560153777,1.63864281165759,0.804528341659826,-0.474393499729852,3.05735865234124,0.855225586932412,-0.480098593891711
"Q2","Soda",-1.96,0.500076088676921,0.684750264093271,-0.0396731048180207,-0.0303377980135694,0.477086592331418,0.320439457274509,1.2095146506538,-2.79,230,0,0,1,0.261651083461105,-0.1152180441423,-1.1316530859837,-0.809533426308718,-0.557248033760167,1.04304358269527,0.520535463986013,-1.06352029252298,0.0651760238363722,-3.36509426060156,-0.291323440424645,1.72493313242611,-3.36509426060157,1.40509426060157,1.40509426060157,1.97428988117547,0.102030745833384,0.00612409217434419,-0.0423420168934046,0.680208784928015,1.38805407415001,-3.25519223286379,1.0619075094552,1.24147778605693,-3.07428772656037,3.05735865234124,0.855225586932412,-2.75423536445243
"Q3","Beer",-2.03,1.14196654704269,0.620489161300033,-0.080167494445967,-0.135203010057646,0.467368044942576,0.465249970689699,1.10152270550468,3.45,230,0,0,1,0.237908670332227,0.339647234861966,-1.38895394292984,-0.910700915791867,-0.864955927113427,1.02086171691532,0.829415865911837,-1.246625480334,0.713248253046427,-2.86808617899454,-0.00113294521303597,0.83933001958027,-2.86808617899453,0.838086178994534,0.838086178994534,0.702388443421658,0.1366122206801,0.00315556976105883,-0.000101758556338038,-0.353268675546835,1.60323532997156,-2.76966445394106,1.10253740775526,1.19572775904246,-2.64972836945356,1.30587724657678,2.00227958237704,-2.38396885213994
"Q4 highest","Smoke",-3.53,1.26911598017038,0.536334252148408,0.132176526974617,0.266194337320385,0.279241068103959,0.375655654524337,1.35405187561933,-1.11022302462516e-15,230,0,0,1,-0.270857325286587,0.429749621680595,-1.72590941520997,-0.380199980940123,0.312871588339132,0.591475803274403,0.638311451358166,-0.818450943263163,0.354939087858176,-2.08275875065389,-0.500723191265975,-0.897506080911145,-2.08275875065389,-1.44724124934611,1.44724124934611,2.09450723380888,0.17328618542052,0.0130184142934753,0.0814970723122443,0.739318319889723,1.49152950300363,-1.96743864355115,1.22254525014132,1.07835238301673,-1.88304652890431,8.05486570907743,0.324615138519908,-1.38729728934821
"Q1 lowest","Toys",-4.82,-0.600960563069034,0.998642213875462,0.612918208198704,-0.0393504362431161,-0.54038918664122,-0.919440498916795,2.78160314437223,-22.15,230,0,0,0,-0.708396081518767,-0.895449837999189,0.125167356816915,0.820841186149947,-0.583693981554592,-1.2792696458666,-2.12412485919169,1.60202627671758,-1.94550961037944,-4.36641125267792,-1.11341907733124,0.768814438094309,-4.36641125267793,-0.453588747322074,0.453588747322074,0.205742751697208,0.395359862116605,0.00545438569748353,0.0771852941424244,-1.58112862013027,0.907697395211748,-4.51088365909489,1.05122770761626,1.25409040713463,-5.09981272963903,3.14312548392206,0.831888946619055,-4.19843735261401
"Q2","Fun",-5.83,0.558496855180108,1.13960095265428,0.136833499107775,0.0656055764008815,-0.674374421217686,-0.69125765630554,2.81923798593528,4.16,230,0,0,0,-1.05096518523544,-0.073819113984075,0.689564833756159,-0.368565426533123,-0.275719650354382,-1.58508103628916,-1.6374115227348,1.6658378389885,0.786987240664879,-3.27883296698141,0.553269048686388,-3.15859137240355,-3.27883296698141,-2.55116703301859,2.55116703301859,6.50845323036089,0.329707921136066,0.117085109595351,-0.199832763226894,1.87310183050292,1.6450161734056,-3.26736733843269,1.06719725962073,1.23532418393222,-4.09670141125715,3.05735865234124,0.855225586932412,-3.62911700162714
"Q4 highest","Books",0.84,1.62742418637641,0.942822286381795,0.818202758584967,0.18136817057915,0.170850390262572,-0.0607357180216652,1.72736635775109,-9.01,230,0,0,0,1.21134760861622,0.683658929820759,-0.0983351128653117,1.3337053824761,0.0639646290111274,0.3440820960178,-0.292510070988792,-0.185479490911612,-0.580819050792881,-2.00755981775632,0.0712899519090774,2.76929183575738,-2.00755981775632,2.84755981775632,2.84755981775632,8.10859691570043,0.0912430622256548,0.021962043983912,0.0211502299011287,2.09292484769781,1.232066817159,-2.21442653926706,1.23819565956084,1.06472234307723,-2.03840313367233,8.05486570907743,0.324615138519908,-2.15440145761837
"Q3","Hshld",-3.48,0.813350565483745,0.726355324852729,0.0968938376696708,-0.179601366147023,0.600332687682077,0.373750725889892,1.26946845548977,-9.96,230,0,0,1,-0.25389845876596,0.106778840903235,-0.965066810283629,-0.468347033704488,-0.995234828517526,1.32434368193736,0.634248244147786,-0.961865926733795,-0.679483893380951,-4.75065129615719,-0.062766638906438,1.33956168300005,-4.75065129615719,1.27065129615719,1.27065129615719,1.61455471642595,0.106848772451258,0.00530145375630844,-0.00828531336147723,0.479059207467942,1.18985068850293,-4.73500983836079,1.07179671526178,1.23002297456536,-4.42408090508494,1.30587724657678,2.00227958237704,-4.012680990223
"Q1 lowest","Clths",-2.08,-1.77518883673897,1.21214397117808,0.571552906747898,-0.0055989396119341,0.401981845374678,-0.395006246765503,2.2074276829622,-14.22,230,0,0,0,0.2209498038116,-1.72754768951954,0.98002640413553,0.717497890005939,-0.484656352931522,0.871622551364631,-1.00550813193983,0.628486022833034,-1.12191781909166,-3.55711286921514,-0.973181311904357,2.54555148310256,-3.55711286921514,1.47711286921514,1.47711286921514,2.18186242840098,0.134945275390965,0.00964540692569714,-0.15449295750487,0.78017884161097,1.06079887376518,-3.4034473871667,1.05268074719797,1.25235935714111,-3.69901616090562,3.14312548392206,0.831888946619055,-3.55694542283448
