"dropped_industry","model","se_type","term","estimate","std_error","t_value","p_value","conf_low_95","conf_high_95"
"Agric","drop_Agric","HC3","RateVulnerability_z",-1.07522259002968,0.531252568676331,-2.02393861870392,0.0498656424775575,-2.1497823369375,-0.000662843121862711
"Food","drop_Food","HC3","RateVulnerability_z",-1.15313296077502,0.543649936909903,-2.12109462815247,0.0403245626514244,-2.25276875184124,-0.0534971697088047
"Soda","drop_Soda","HC3","RateVulnerability_z",-1.07982083127139,0.531925016609831,-2.03002452893364,0.0492147838609441,-2.1557407325085,-0.00390093003428471
"Beer","drop_Beer","HC3","RateVulnerability_z",-1.09783880499484,0.536482372826764,-2.04636510088905,0.0475037429994504,-2.18297682927131,-0.0127007807183668
"Smoke","drop_Smoke","HC3","RateVulnerability_z",-1.13261351455704,0.552066704684213,-2.0515881594506,0.0469678961318889,-2.24927382537642,-0.015953203737672
"Toys","drop_Toys","HC3","RateVulnerability_z",-1.13097715879815,0.553317925254259,-2.04399154117128,0.0477490117523308,-2.25016830210352,-0.011786015492782
"Fun","drop_Fun","HC3","RateVulnerability_z",-1.01444767645869,0.523188025504559,-1.93897342256708,0.0597646789703156,-2.07269534511872,0.0437999922013459
"Books","drop_Books","HC3","RateVulnerability_z",-1.10673331043603,0.533413047109961,-2.07481484832874,0.0446484927197808,-2.18566303745449,-0.0278035834175685
"Hshld","drop_Hshld","HC3","RateVulnerability_z",-1.09434431405864,0.533698159824264,-2.05049294983327,0.0470798168244622,-2.17385073597551,-0.014837892141776
"Clths","drop_Clths","HC3","RateVulnerability_z",-1.03204092701873,0.590029672402855,-1.74913394239278,0.0881348426792247,-2.22548858794025,0.161406733902792
"Hlth","drop_Hlth","HC3","RateVulnerability_z",-1.07483067688072,0.531832701582051,-2.02099395859527,0.0501832419218918,-2.15056385334936,0.000902499587910999
"MedEq","drop_MedEq","HC3","RateVulnerability_z",-1.16042936702511,0.537669344202045,-2.1582583785715,0.0371237701167667,-2.2479682675247,-0.0728904665255101
"Drugs","drop_Drugs","HC3","RateVulnerability_z",-1.08227216904605,0.527478971873304,-2.0517825861426,0.0469480517692848,-2.1491990959645,-0.0153452421275888
"Chems","drop_Chems","HC3","RateVulnerability_z",-1.10499387778296,0.539460272151946,-2.04833225878721,0.0473013037234495,-2.19615527198526,-0.0138324835806589
"Rubbr","drop_Rubbr","HC3","RateVulnerability_z",-0.958544619058908,0.594570159539198,-1.61216402081429,0.114990587863895,-2.16117628208365,0.244087043965836
"Txtls","drop_Txtls","HC3","RateVulnerability_z",-1.1220063809622,0.544419825883097,-2.06092123691897,0.0460235346431293,-2.22319941946394,-0.020813342460468
"BldMt","drop_BldMt","HC3","RateVulnerability_z",-1.01460323134767,0.522871131055213,-1.94044606995244,0.0595796281583422,-2.0722099204824,0.0430034577870546
"Cnstr","drop_Cnstr","HC3","RateVulnerability_z",-1.14622092217048,0.656877731403535,-1.74495323463223,0.0888692425016443,-2.47488154505476,0.182439700713794
"Steel","drop_Steel","HC3","RateVulnerability_z",-1.12173683337154,0.56544347068873,-1.98381782002935,0.0543468194393759,-2.26545420732771,0.0219805405846227
"FabPr","drop_FabPr","HC3","RateVulnerability_z",-1.03997230821982,0.534360819997742,-1.9461986532325,0.0588614905280799,-2.12081908685265,0.0408744704130095
"Mach","drop_Mach","HC3","RateVulnerability_z",-1.10990748676447,0.545284516888394,-2.03546488555743,0.0486392442368129,-2.21284952791126,-0.00696544561768642
"ElcEq","drop_ElcEq","HC3","RateVulnerability_z",-1.06272027399399,0.544083860610483,-1.95322881439926,0.0579940095572095,-2.16323375858936,0.037793210601383
"Autos","drop_Autos","HC3","RateVulnerability_z",-0.944346665839986,0.517357739705396,-1.82532625563451,0.0756171782191477,-1.99080146835283,0.10210813667286
"Aero","drop_Aero","HC3","RateVulnerability_z",-1.2241951903984,0.534082710865192,-2.29214532785616,0.0273781751656198,-2.30447944021405,-0.143910940582761
"Ships","drop_Ships","HC3","RateVulnerability_z",-1.19154850827888,0.536048383377645,-2.22283761172998,0.032093344288812,-2.27580870603723,-0.107288310520532
"Guns","drop_Guns","HC3","RateVulnerability_z",-1.16650077859843,0.579961759405664,-2.01134085080685,0.0512367679054296,-2.33958416331681,0.00658260611995498
"Gold","drop_Gold","HC3","RateVulnerability_z",-0.738126175545336,0.454797152087085,-1.62297888664879,0.112650920161472,-1.65804024553046,0.181787894439788
"Mines","drop_Mines","HC3","RateVulnerability_z",-1.10675395914905,0.538376792782549,-2.05572374958603,0.0465473694328075,-2.19572380946882,-0.0177841088292707
"Coal","drop_Coal","HC3","RateVulnerability_z",-1.16348757208195,0.555879763586594,-2.09305617562871,0.0428978959805149,-2.28786052252073,-0.0391146216431613
"Oil","drop_Oil","HC3","RateVulnerability_z",-1.09759216995059,0.560491944389697,-1.95826573590763,0.057379288393009,-2.23129413662138,0.0361097967201989
"Util","drop_Util","HC3","RateVulnerability_z",-1.23367577755309,0.504280418712424,-2.44640825178782,0.0190405785546564,-2.25367920163505,-0.213672353471136
"Telcm","drop_Telcm","HC3","RateVulnerability_z",-1.11076006352972,0.543626924229185,-2.04323960794378,0.047826942065436,-2.21034930705561,-0.0111708200038392
"PerSv","drop_PerSv","HC3","RateVulnerability_z",-1.09773255295087,0.536726752584933,-2.04523539708813,0.0476203419590154,-2.18336488194523,-0.0121002239565062
"BusSv","drop_BusSv","HC3","RateVulnerability_z",-1.08260131092149,0.537490479750332,-2.01417764910806,0.0509251859931712,-2.16977842391869,0.00457580207571251
"Hardw","drop_Hardw","HC3","RateVulnerability_z",-1.10996343117461,0.55614578030713,-1.99581381443124,0.0529717193304304,-2.2348744512186,0.0149475888693811
"Softw","drop_Softw","HC3","RateVulnerability_z",-1.08237210049023,0.557225015592816,-1.94243271605229,0.0593307714354951,-2.20946607994716,0.0447218789666981
"Chips","drop_Chips","HC3","RateVulnerability_z",-1.12340538649419,0.541378448048321,-2.07508331841448,0.0446222806909274,-2.21844665766512,-0.0283641153232606
"LabEq","drop_LabEq","HC3","RateVulnerability_z",-1.14025350417409,0.540825980449691,-2.10835563636566,0.0414763908633828,-2.23417730414966,-0.0463297041985191
"Paper","drop_Paper","HC3","RateVulnerability_z",-1.10738894312199,0.538531762446875,-2.05631128996079,0.046487893319921,-2.19667224917468,-0.0181056370693029
"Boxes","drop_Boxes","HC3","RateVulnerability_z",-0.983120271787651,0.535548871339054,-1.83572466380056,0.0740316187328377,-2.06637011108109,0.100129567505788
"Trans","drop_Trans","HC3","RateVulnerability_z",-1.08482603576327,0.543730409515335,-1.99515424699209,0.0530465335564436,-2.18462459803781,0.014972526511267
"Whlsl","drop_Whlsl","HC3","RateVulnerability_z",-1.1151190354885,0.543831450543253,-2.0504864777029,0.0470804789106583,-2.21512197253275,-0.0151160984442376
