"model","se_type","term","estimate","std_error","t_value","p_value","conf_low_95","conf_high_95"
"OLS_M2","const","RateVulnerability_z",-1.09788237897484,0.423774850333839,-2.59072094087216,0.0133007817551305,-1.95436330001529,-0.241401457934394
"OLS_M2","HC3","RateVulnerability_z",-1.09788237897484,0.536065766252205,-2.04803672999017,0.0471601923743524,-2.18131170673285,-0.0144530512168328
"WLS_weight_1_over_HistVol_sq","const","RateVulnerability_z",-0.525701269011932,0.454428159475059,-1.15684131374958,0.254199352993722,-1.44413483878915,0.392732300765285
"WLS_weight_1_over_HistVol_sq","HC3","RateVulnerability_z",-0.525701269011932,0.550630897282608,-0.95472533707479,0.345451097478157,-1.63856782465207,0.587165286628208
"FGLS_log_variance_function","const","RateVulnerability_z",-1.24458612389379,0.421525513458239,-2.95257602246441,0.00525308723243143,-2.09652096553046,-0.392651282257132
"FGLS_log_variance_function","HC3","RateVulnerability_z",-1.24458612389379,0.535385169932669,-2.32465558216772,0.0252514391617309,-2.32663991517965,-0.162532332607936
"FGLS_White_fitted_and_fitted_sq","const","RateVulnerability_z",-1.13068375307995,0.399702666981037,-2.82881213082723,0.00726823073159824,-1.93851297675511,-0.322854529404796
"FGLS_White_fitted_and_fitted_sq","HC3","RateVulnerability_z",-1.13068375307995,0.533629853575764,-2.11885400620567,0.0403618483549382,-2.20918991767467,-0.0521775884852382
"Group_WLS_RV_quartile_variance","const","RateVulnerability_z",-1.04831039961367,0.412910791206017,-2.53883023146911,0.0151164717539978,-1.88283423811204,-0.213786561115295
"Group_WLS_RV_quartile_variance","HC3","RateVulnerability_z",-1.04831039961367,0.469127470646363,-2.23459606441146,0.0310969646564901,-1.99645238545366,-0.100168413773675
