"Model","Method","DepVar","Core_X","Controls","Proxy","IV","term","beta","SE_HC3","t_value","p_value","N"
"M1_simple","OLS_HC3","CAR","RateVulnerability_z","None","","","RateVulnerability_z",0.016201293530607,0.70048088128423,0.0231288161654095,0.981645438213498,49
"M2_controls","OLS_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","","RateVulnerability_z",-1.09788237897484,0.536065766252205,-2.04803672999017,0.0471601923743524,49
"M3_proxy_Gold","OLS_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","GoldDummy","","RateVulnerability_z",-0.738126175545336,0.454797152087084,-1.62297888664879,0.112650920161472,49
"M3_proxy_HighGrowth","OLS_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","HighGrowthProxy","","RateVulnerability_z",-0.999817567268046,0.510199363641169,-1.9596605533425,0.0572100588211698,49
"M3_proxy_HighVol","OLS_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","HighVolProxy","","RateVulnerability_z",-1.08916668516566,0.59340396957592,-1.83545567776374,0.0740722755912161,49
"M3_proxy_Finance","OLS_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","FinanceDummy","","RateVulnerability_z",-1.1192693363822,0.546876207126587,-2.04665941175809,0.0474734075594231,49
"M3_proxy_Defensive","OLS_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","DefensiveDummy","","RateVulnerability_z",-0.94816215188111,0.489441262355477,-1.93723379046139,0.0599839164800662,49
"Y_AR0","OLS_HC3","CAR_1","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","","RateVulnerability_z",-0.427231745416691,0.235438203205144,-1.8146237084745,0.077086302545191,49
"Y_CAR3","OLS_HC3","CAR_3","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","","RateVulnerability_z",-1.09788237897484,0.536065766252205,-2.04803672999017,0.0471601923743524,49
"Y_CAR5","OLS_HC3","CAR_5","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","","RateVulnerability_z",-0.710032678978629,0.40288548213907,-1.76236849044249,0.0856475141443914,49
"Y_CAR3_exGold","OLS_HC3","CAR_3_exGold","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","","RateVulnerability_z",-0.738126175545337,0.454797152087085,-1.62297888664879,0.112650920161471,48
"X_main_260d_2Y","OLS_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","","RateVulnerability_z",-1.09788237897484,0.536065766252205,-2.04803672999017,0.0471601923743524,49
"X_long_520d_2Y","OLS_HC3","CAR","RateVulnerability_long_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","","RateVulnerability_long_z",-1.07700126155515,0.605589087416013,-1.77843571480227,0.0829339832070691,49
"X_260d_10Y","OLS_HC3","CAR","RateVulnerability_10Y_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","","RateVulnerability_10Y_z",-0.782514886581765,0.644133505058682,-1.21483338537168,0.231552399801671,49
"X_winsorized_2Y","OLS_HC3","CAR","RateVulnerability_winsor_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","","RateVulnerability_winsor_z",-0.69630327024129,0.479598922591184,-1.45184494260181,0.154343685114466,49
"IV_one_presample_2Y","2SLS_manual_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","Z_presample_2Y_z","RateVulnerability_z",-0.419723808916578,1.57952941416692,-0.265727124263748,0.79181421048035,49
"IV_two_presample_2Y_10Y","2SLS_manual_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","Z_presample_2Y_z; Z_presample_10Y_z","RateVulnerability_z",-0.861027057197391,1.72873634898893,-0.498067306620221,0.621164107075727,49
"IV_simple_presample_2Y","2SLS_manual_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","","Z_presample_simple_2Y_z","RateVulnerability_z",-2.80895508845991,2.0637790621482,-1.36107354705694,0.181109556470216,49
"Mechanism_HighGrowth_interaction","OLS_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","HighGrowthProxy","","RateVulnerability_z:HighGrowthProxy",-1.02595923007348,1.0735389139773,-0.955679590851952,0.345274737879883,49
"Mechanism_HighVol_interaction","OLS_HC3","CAR","RateVulnerability_z","MktBeta_z; SMBBeta_z; HMLBeta_z; RMWBeta_z; CMABeta_z; HistVol_z; PreMomentum_z","HighVolProxy","","RateVulnerability_z:HighVolProxy",-1.67682006202739,1.04840419792922,-1.59940227761335,0.118013911021003,49
