"variable","role","equation","lecture6_concept"
"CAR_3day","endogenous variable","return equation; exploratory reverse equation","endogenous variable"
"RateVulnerability_z","endogenous or predetermined exposure variable depending on specification","return equation; exploratory reverse equation","endogenous variable in SEM; also a pre-event constructed regressor in the main empirical design"
"Z_precovid_2Y_z","excluded exogenous / predetermined IV for return equation","excluded from return equation","exogenous / predetermined variable"
"Z_early_nonoverlap_2Y_z","excluded exogenous / predetermined IV for return equation","excluded from return equation","exogenous / predetermined variable"
"Z_verylong_2Y_z","excluded exogenous / predetermined IV for return equation","excluded from return equation","exogenous / predetermined variable"
"Z_termspread_z","excluded exogenous / predetermined IV candidate for return equation","excluded from return equation in overidentification check","exogenous / predetermined variable"
"MktBeta_z","included controls in return equation; questionable excluded IVs in reverse equation","included in return equation; excluded from exploratory vulnerability equation","exogenous controls; exclusion restriction must be justified if used as IVs"
"SMBBeta_z","included controls in return equation; questionable excluded IVs in reverse equation","included in return equation; excluded from exploratory vulnerability equation","exogenous controls; exclusion restriction must be justified if used as IVs"
"HMLBeta_z","included controls in return equation; questionable excluded IVs in reverse equation","included in return equation; excluded from exploratory vulnerability equation","exogenous controls; exclusion restriction must be justified if used as IVs"
"RMWBeta_z","included controls in return equation; questionable excluded IVs in reverse equation","included in return equation; excluded from exploratory vulnerability equation","exogenous controls; exclusion restriction must be justified if used as IVs"
"CMABeta_z","included controls in return equation; questionable excluded IVs in reverse equation","included in return equation; excluded from exploratory vulnerability equation","exogenous controls; exclusion restriction must be justified if used as IVs"
"HistVol_z","included controls in return equation; questionable excluded IVs in reverse equation","included in return equation; excluded from exploratory vulnerability equation","exogenous controls; exclusion restriction must be justified if used as IVs"
"PreMomentum_z","included controls in return equation; questionable excluded IVs in reverse equation","included in return equation; excluded from exploratory vulnerability equation","exogenous controls; exclusion restriction must be justified if used as IVs"
