"equation","method","term","estimate","standard_error","statistic","p_value","N"
"levels_baseline_demand","2SLS_manual_HC3","(Intercept)",13.0284313712805,2.4974284201557,5.21673865250092,3.43628144376431e-07,300
"levels_baseline_demand","2SLS_manual_HC3","log_price",-0.114267119346116,0.452294924659071,-0.252638517737619,0.8007235066168,300
"levels_baseline_demand","2SLS_manual_HC3","mortgage_rate",0.031593292699184,0.0157187166754289,2.00991552628274,0.0453503535954881,300
"levels_baseline_demand","2SLS_manual_HC3","log_income",-0.488634014133862,0.815244177399389,-0.599371363427082,0.549385304239283,300
"levels_baseline_demand","2SLS_manual_HC3","unrate",-0.115882795469867,0.017505058268824,-6.61996056741213,1.69445800551107e-10,300
"levels_baseline_supply","2SLS_manual_HC3","(Intercept)",1.20357590065159,0.86923589861138,1.38463667063719,0.167209955701217,300
"levels_baseline_supply","2SLS_manual_HC3","log_price",0.0089688948885749,0.140663962617358,0.0637611419562564,0.949203602020243,300
"levels_baseline_supply","2SLS_manual_HC3","log_permit",1.03589422649803,0.0258986375301706,39.9980201773649,3.62979544617824e-121,300
"levels_baseline_supply","2SLS_manual_HC3","months_supply",0.0167724147942922,0.00519649322081763,3.22764104205897,0.00138876686841749,300
"levels_baseline_supply","2SLS_manual_HC3","log_construction_cost",-0.443325871573679,0.15455930267673,-2.86832215140696,0.00442426615478023,300
"trend_monthFE_demand","2SLS_manual_HC3","(Intercept)",0.0221223406260352,0.000164911292355324,134.146912016004,1.71788716707336e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","log_price",0.267520819187927,0.00199312617021038,134.221718216509,1.47152480579517e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","mortgage_rate",0.191472384295581,0.00145786335142628,131.337675858479,6.11313620483884e-255,300
"trend_monthFE_demand","2SLS_manual_HC3","log_income",0.204075843618597,0.00152039838540075,134.2252435797,1.46083208948595e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","unrate",0.0922500801717143,0.000665073675096079,138.706557823669,1.59332420500393e-261,300
"trend_monthFE_demand","2SLS_manual_HC3","trend",-0.00635675099996139,0.000907254855208685,-7.00657699814593,1.79826683450927e-11,300
"trend_monthFE_demand","2SLS_manual_HC3","trend2",1.96795300295567e-05,3.29296649646026e-06,5.97623147721395,6.87741390764896e-09,300
"trend_monthFE_demand","2SLS_manual_HC3","month02",0.00193393055258597,1.44200278436725e-05,134.114203769348,1.83823230047896e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month03",0.0019058429436168,1.420641914838e-05,134.153647285152,1.6941048132826e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month04",0.00198785440358985,1.48525003557397e-05,133.839714255361,3.24675491014054e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month05",0.00194703083805935,1.45399037859726e-05,133.909471941468,2.80943448359019e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month06",0.00192090811134231,1.43423542516846e-05,133.932552329523,2.67816565738744e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month07",0.00188567144314224,1.40737577846702e-05,133.984929397904,2.40264852953093e-257,300
