"equation","method","term","estimate","standard_error","statistic","p_value","N"
"levels_baseline_demand","2SLS_manual_HC3","(Intercept)",13.0284313712805,2.4974284201557,5.21673865250092,3.43628144376431e-07,300
"levels_baseline_demand","2SLS_manual_HC3","log_price",-0.114267119346116,0.452294924659071,-0.252638517737619,0.8007235066168,300
"levels_baseline_demand","2SLS_manual_HC3","mortgage_rate",0.031593292699184,0.0157187166754289,2.00991552628274,0.0453503535954881,300
"levels_baseline_demand","2SLS_manual_HC3","log_income",-0.488634014133862,0.815244177399389,-0.599371363427082,0.549385304239283,300
"levels_baseline_demand","2SLS_manual_HC3","unrate",-0.115882795469867,0.017505058268824,-6.61996056741213,1.69445800551107e-10,300
"levels_baseline_supply","2SLS_manual_HC3","(Intercept)",1.20357590065159,0.86923589861138,1.38463667063719,0.167209955701217,300
"levels_baseline_supply","2SLS_manual_HC3","log_price",0.0089688948885749,0.140663962617358,0.0637611419562564,0.949203602020243,300
"levels_baseline_supply","2SLS_manual_HC3","log_permit",1.03589422649803,0.0258986375301706,39.9980201773649,3.62979544617824e-121,300
"levels_baseline_supply","2SLS_manual_HC3","months_supply",0.0167724147942922,0.00519649322081763,3.22764104205897,0.00138876686841749,300
"levels_baseline_supply","2SLS_manual_HC3","log_construction_cost",-0.443325871573679,0.15455930267673,-2.86832215140696,0.00442426615478023,300
