"equation","method","term","estimate","standard_error","statistic","p_value","N"
"detrended_cycle_demand","2SLS_manual_HC3","(Intercept)",0.53205238829644,0.0807652954902518,6.58763624978823,2.04909238952549e-10,300
"detrended_cycle_demand","2SLS_manual_HC3","log_price_cycle",2.60174211083597,0.231135136705323,11.2563678024988,1.08208041706099e-24,300
"detrended_cycle_demand","2SLS_manual_HC3","mortgage_rate",-0.0651775631412284,0.00876068259184484,-7.43978137067778,1.10789727968913e-12,300
"detrended_cycle_demand","2SLS_manual_HC3","log_income_cycle",4.06901735843666,1.10536271167618,3.68116032452947,0.000276008569009915,300
"detrended_cycle_demand","2SLS_manual_HC3","unrate",-0.0344821753993355,0.00837740014826274,-4.11609506399026,5.0060352231774e-05,300
"detrended_cycle_supply","2SLS_manual_HC3","(Intercept)",-0.201339541022155,0.0416466225085826,-4.83447465591388,2.1516881465756e-06,300
"detrended_cycle_supply","2SLS_manual_HC3","log_price_cycle",-1.82748172856066,0.468187971797996,-3.90330772818134,0.000117626476218721,300
"detrended_cycle_supply","2SLS_manual_HC3","log_permit_cycle",1.40455439013558,0.104399367798134,13.4536675820817,1.68204212685462e-32,300
"detrended_cycle_supply","2SLS_manual_HC3","months_supply",0.0332646008958261,0.00698602564365594,4.76159158190808,3.01508954064163e-06,300
"detrended_cycle_supply","2SLS_manual_HC3","log_construction_cost_cycle",0.23984142287699,0.215024421885302,1.11541480160298,0.265580513355717,300
