"model","sample","transformation","IV_set","equation","first_stage_F","partial_R2","overid_min_p","DWH_p","price_coef","price_p","price_sign_ok","price_sig_10pct","N"
"levels_baseline","2000_2024","log_levels","demand_excluded_supply_shifters","demand",78.6427898057164,0.446049754671185,2.41306717022342e-59,0.94076064366769,-0.114267119346116,0.8007235066168,TRUE,FALSE,300
"levels_baseline","2000_2024","log_levels","supply_excluded_demand_shifters","supply",70.0251068268583,0.417582242515684,1.24669865169127e-14,0.370142157515875,0.0089688948885749,0.949203602020243,TRUE,FALSE,300
"trend_monthFE","2000_2024","log_levels_trend_monthFE","demand_excluded_supply_shifters","demand",194.7094824213,0.675974097500705,1.38002194892439e-62,0,0.267520819187927,1.47152480579517e-257,FALSE,TRUE,300
"trend_monthFE","2000_2024","log_levels_trend_monthFE","supply_excluded_demand_shifters","supply",16.6258901138382,0.151200504992889,1.04943716341154e-62,0,0.334980970610247,1.06278351162253e-259,TRUE,TRUE,300
"dynamic_lagY","2000_2024","log_levels_L1_sales","demand_excluded_supply_shifters","demand",81.061719023929,0.455245065970836,3.67232991261713e-13,0.23161820963429,-0.153317675306406,0.144620323141497,TRUE,FALSE,299
"dynamic_lagY","2000_2024","log_levels_L1_sales","supply_excluded_demand_shifters","supply",70.1052026019376,0.419527348702217,4.61771653112025e-05,0.508089867794155,-0.075544491837307,0.418151481033114,FALSE,FALSE,299
"yoy_growth","2000_2024","year_over_year_change","demand_excluded_supply_shifters","demand",44.1990355168667,0.320594860192471,6.91396085362226e-20,3.22177182546932e-12,2.75799717283743,4.32886957390996e-10,FALSE,TRUE,288
"yoy_growth","2000_2024","year_over_year_change","supply_excluded_demand_shifters","supply",2.78503957876961,0.0288749643441521,0.00526838324349936,0.0176979099268221,-1.42030488260658,0.0844392698749518,FALSE,TRUE,288
"mom_growth","2000_2024","month_over_month_change","demand_excluded_supply_shifters","demand",2.41716658103221,0.0242321249829055,0.00749346396008617,0.37482248319546,0.642528521783616,0.379962686452812,FALSE,FALSE,299
"mom_growth","2000_2024","month_over_month_change","supply_excluded_demand_shifters","supply",0.534605036223817,0.00546251453877679,0.0133857014974095,0.753748130585444,0.218796255377676,0.724227896215474,TRUE,FALSE,299
"detrended_cycle","2000_2024","quadratic_trend_residual","demand_excluded_supply_shifters","demand",187.667168046803,0.657710881835157,5.41948904613892e-39,4.80336688018216e-10,2.60174211083597,1.08208041706099e-24,FALSE,TRUE,300
"detrended_cycle","2000_2024","quadratic_trend_residual","supply_excluded_demand_shifters","supply",16.7262727026761,0.146217701851962,7.44893075973072e-11,8.19324402175683e-06,-1.82748172856066,0.000117626476218721,FALSE,TRUE,300
"clean_ivset","2000_2024","log_levels","demand_excluded_supply_shifters","demand",63.0147406440145,0.463293466176142,6.28580394120657e-60,0.426029747193485,0.0730375373695885,0.86752386472904,FALSE,FALSE,300
"clean_ivset","2000_2024","log_levels","supply_excluded_demand_shifters","supply",70.0251068268583,0.417582242515684,1.24669865169127e-14,0.370142157515875,0.0089688948885749,0.949203602020243,TRUE,FALSE,300
"lagged_IV","2000_2024","log_levels_lagged_instruments","demand_excluded_supply_shifters","demand",46.001577018753,0.490239473199755,3.80513803631115e-55,0.7228834749346,-0.259242660409807,0.537911558700093,TRUE,FALSE,297
"lagged_IV","2000_2024","log_levels_lagged_instruments","supply_excluded_demand_shifters","supply",31.5996398455021,0.304282613714531,2.23918068833547e-05,5.07074767982603e-06,-0.904397276809032,6.31038239137418e-05,FALSE,TRUE,297
"pre_covid","2000_2019","log_levels","demand_excluded_supply_shifters","demand",60.453883491238,0.510357969780786,3.10473682867466e-32,7.8365412002054e-08,2.38654875672607,1.53924926251313e-13,FALSE,TRUE,240
"pre_covid","2000_2019","log_levels","supply_excluded_demand_shifters","supply",26.7862766060652,0.256443483225982,3.82905803205734e-05,0.613960091547363,0.251225920443123,0.302735821397515,TRUE,FALSE,240
"post_gfc_pre_covid","2010_2019","log_levels","demand_excluded_supply_shifters","demand",4.55627075648676,0.139950634720008,1.2431002970592e-10,1.62886945160647e-24,1.10772890053322,0.00407878609249547,FALSE,TRUE,120
"post_gfc_pre_covid","2010_2019","log_levels","supply_excluded_demand_shifters","supply",14.7890162711303,0.281933537852657,1.05621865069028e-06,0.0319073588594961,2.5777766154744,1.48737401964212e-05,TRUE,TRUE,120
