"model","price_sign_ok","price_sig_10pct","overid_min_p","first_stage_F","use_as_preferred","use_as_sensitivity","reason"
"clean_ivset",1,0,6.28580394120657e-60,63.0147406440145,FALSE,TRUE,"Overidentification remains rejected; use for Lecture 6 demonstration or sensitivity, not as preferred causal evidence. No model passes the full preferred-model rule in this run."
"detrended_cycle",0,2,5.41948904613892e-39,16.7262727026761,FALSE,FALSE,"Overidentification remains rejected; use for Lecture 6 demonstration or sensitivity, not as preferred causal evidence."
"dynamic_lagY",1,0,3.67232991261713e-13,70.1052026019376,FALSE,TRUE,"Overidentification remains rejected; use for Lecture 6 demonstration or sensitivity, not as preferred causal evidence. No model passes the full preferred-model rule in this run."
"lagged_IV",1,1,3.80513803631115e-55,31.5996398455021,FALSE,TRUE,"Overidentification remains rejected; use for Lecture 6 demonstration or sensitivity, not as preferred causal evidence. No model passes the full preferred-model rule in this run."
"levels_baseline",2,0,2.41306717022342e-59,70.0251068268583,FALSE,TRUE,"Overidentification remains rejected; use for Lecture 6 demonstration or sensitivity, not as preferred causal evidence. No model passes the full preferred-model rule in this run."
"mom_growth",1,0,0.00749346396008617,0.534605036223817,FALSE,FALSE,"Overidentification remains rejected; use for Lecture 6 demonstration or sensitivity, not as preferred causal evidence."
"post_gfc_pre_covid",1,2,1.2431002970592e-10,4.55627075648676,FALSE,FALSE,"Overidentification remains rejected; use for Lecture 6 demonstration or sensitivity, not as preferred causal evidence."
"pre_covid",1,1,3.10473682867466e-32,26.7862766060652,FALSE,TRUE,"Overidentification remains rejected; use for Lecture 6 demonstration or sensitivity, not as preferred causal evidence. No model passes the full preferred-model rule in this run."
"trend_monthFE",1,2,1.04943716341154e-62,16.6258901138382,FALSE,TRUE,"Overidentification remains rejected; use for Lecture 6 demonstration or sensitivity, not as preferred causal evidence. No model passes the full preferred-model rule in this run."
"yoy_growth",0,2,6.91396085362226e-20,2.78503957876961,FALSE,FALSE,"Overidentification remains rejected; use for Lecture 6 demonstration or sensitivity, not as preferred causal evidence."
