"equation","method","term","estimate","standard_error","statistic","p_value","N"
"mom_growth_demand","2SLS_manual_HC3","(Intercept)",-0.0039200096309267,0.0055221696285515,-0.709867659743539,0.478348840927852,299
"mom_growth_demand","2SLS_manual_HC3","d1_log_price",0.642528521783616,0.730736426530292,0.879289027419219,0.379962686452812,299
"mom_growth_demand","2SLS_manual_HC3","d1_mortgage_rate",-0.0495795466317629,0.0263239876603406,-1.88343602312422,0.0606282195971703,299
"mom_growth_demand","2SLS_manual_HC3","d1_log_income",0.45092432718444,0.216602861582837,2.0818022619336,0.0382253567239876,299
"mom_growth_demand","2SLS_manual_HC3","d1_unrate",-0.0164239815833719,0.0316076922212185,-0.519619764341617,0.60371960438202,299
"mom_growth_supply","2SLS_manual_HC3","(Intercept)",-0.000583987576065607,0.00276214387635802,-0.211425473185566,0.832701763091995,299
"mom_growth_supply","2SLS_manual_HC3","d1_log_price",0.218796255377676,0.619553416022569,0.353151560009646,0.724227896215474,299
"mom_growth_supply","2SLS_manual_HC3","d1_log_permit",0.0263147441686654,0.0914871363472432,0.287633269761408,0.773830117503673,299
"mom_growth_supply","2SLS_manual_HC3","d1_months_supply",-0.129268076428757,0.00453982765615741,-28.4742255035672,1.65759979432358e-86,299
"mom_growth_supply","2SLS_manual_HC3","d1_log_construction_cost",0.348364022483813,0.235383845452763,1.47998271425012,0.139948613476375,299
