"equation","method","term","estimate","standard_error","statistic","p_value","N","preferred_role"
"pre_covid_demand","2SLS_manual_HC3","(Intercept)",33.6900002147045,2.97168056826622,11.3370193871007,4.73912996991154e-24,240,"Pre-COVID preferred robustness sample: excludes pandemic and rapid-rate-hike distortions."
"pre_covid_demand","2SLS_manual_HC3","log_price",2.38654875672607,0.304306871060109,7.84257269121823,1.53924926251313e-13,240,"Pre-COVID preferred robustness sample: excludes pandemic and rapid-rate-hike distortions."
"pre_covid_demand","2SLS_manual_HC3","mortgage_rate",-0.039974694990176,0.0290122761870384,-1.37785448933632,0.169558843282505,240,"Pre-COVID preferred robustness sample: excludes pandemic and rapid-rate-hike distortions."
"pre_covid_demand","2SLS_manual_HC3","log_income",-5.91691647291972,0.497772637492635,-11.8867853056854,7.96964262400815e-26,240,"Pre-COVID preferred robustness sample: excludes pandemic and rapid-rate-hike distortions."
"pre_covid_demand","2SLS_manual_HC3","unrate",-0.138315543288611,0.0139286564811215,-9.93028605997144,1.24776947482376e-19,240,"Pre-COVID preferred robustness sample: excludes pandemic and rapid-rate-hike distortions."
"pre_covid_supply","2SLS_manual_HC3","(Intercept)",1.07444041065013,1.0157831008046,1.05774590047725,0.291257379046508,240,"Pre-COVID preferred robustness sample: excludes pandemic and rapid-rate-hike distortions."
"pre_covid_supply","2SLS_manual_HC3","log_price",0.251225920443123,0.243235614044667,1.03285006774127,0.302735821397515,240,"Pre-COVID preferred robustness sample: excludes pandemic and rapid-rate-hike distortions."
"pre_covid_supply","2SLS_manual_HC3","log_permit",0.98262801618542,0.0517783698309281,18.9775773048475,2.54583014542634e-49,240,"Pre-COVID preferred robustness sample: excludes pandemic and rapid-rate-hike distortions."
"pre_covid_supply","2SLS_manual_HC3","months_supply",0.0297015430855601,0.00440322449138814,6.74540740397192,1.1753555565092e-10,240,"Pre-COVID preferred robustness sample: excludes pandemic and rapid-rate-hike distortions."
"pre_covid_supply","2SLS_manual_HC3","log_construction_cost",-0.936102263322314,0.334690645182022,-2.79691792046716,0.0055865412996117,240,"Pre-COVID preferred robustness sample: excludes pandemic and rapid-rate-hike distortions."
