"date","sales","price","mortgage_rate","income","unrate","permit","months_supply","construction_cost","housing_starts","under_construction","log_sales","log_price","log_income","log_permit","log_construction_cost","log_starts","log_under_construction","trend","trend2","month"
2000-01-01,873,163500,8.21,9799.9,4,1727,4.3,144.1,1636,991,6.7719355558396,12.0045682693194,9.19012746052497,7.45414107814668,4.97050750300548,7.40000951716269,6.89871453432999,1,1,"01"
2000-02-01,856,162400,8.325,9837.9,4.1,1692,4.3,144.7,1737,998,6.75227037614174,11.9978177067097,9.19399755263601,7.43366654016617,4.97466263363744,7.4599147662411,6.90575327631146,2,4,"02"
2000-03-01,900,165100,8.24,9864,4,1651,4.3,145.4,1604,988,6.80239476332431,12.0143066299082,9.19664704484418,7.40913644392013,4.97948856509942,7.38025578842646,6.89568269774787,3,9,"03"
2000-04-01,841,162600,8.1525,9913.7,3.8,1597,4.4,145.6,1626,989,6.73459165997295,11.9990484760958,9.20167291788462,7.37588214821501,4.98086313576259,7.39387829010776,6.89669433162271,4,16,"04"
2000-05-01,857,164700,8.515,9954.5,4,1543,4.4,144.9,1575,985,6.75343791859778,12.0118809161657,9.20577998921985,7.34148385236316,4.97604384932664,7.36201055125973,6.89264164117209,5,25,"05"
2000-06-01,793,160100,8.288,9982.3,4,1572,4.8,145,1559,982,6.67582322163485,11.9835538989848,9.20856880367531,7.36010397298915,4.97673374242057,7.35179986905778,6.88959130835447,6,36,"06"
2000-07-01,887,169000,8.1475,10035.9,4,1542,4.1,144.4,1463,979,6.78784498230958,12.0376539939052,9.21392394330753,7.34083555412327,4.97258722645873,7.28824440102012,6.88653164253051,7,49,"07"
2000-08-01,848,166600,8.0275,10098.3,4.1,1552,4.4,143.7,1541,976,6.7428806357919,12.0233510087149,9.2201223718308,7.34729970074316,4.96772779308498,7.34018683532012,6.88346258641309,8,64,"08"
2000-09-01,912,171500,7.912,10110.3,3.9,1570,4,143.4,1507,970,6.81563999007433,12.0523385455881,9.22130998516477,7.35883089834235,4.96563792816552,7.3178761986265,6.87729607149743,9,81,"09"
2000-10-01,933,176300,7.795,10139.2,3.9,1577,4,143.3,1549,972,6.83840520084734,12.079942368386,9.22416437856925,7.36327958696304,4.96494033483413,7.34536484041687,6.87935580446044,10,100,"10"
