"equation","method","term","estimate","standard_error","statistic","p_value","N"
"trend_monthFE_demand","2SLS_manual_HC3","(Intercept)",0.0221223406260352,0.000164911292355324,134.146912016004,1.71788716707336e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","log_price",0.267520819187927,0.00199312617021038,134.221718216509,1.47152480579517e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","mortgage_rate",0.191472384295581,0.00145786335142628,131.337675858479,6.11313620483884e-255,300
"trend_monthFE_demand","2SLS_manual_HC3","log_income",0.204075843618597,0.00152039838540075,134.2252435797,1.46083208948595e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","unrate",0.0922500801717143,0.000665073675096079,138.706557823669,1.59332420500393e-261,300
"trend_monthFE_demand","2SLS_manual_HC3","trend",-0.00635675099996139,0.000907254855208685,-7.00657699814593,1.79826683450927e-11,300
"trend_monthFE_demand","2SLS_manual_HC3","trend2",1.96795300295567e-05,3.29296649646026e-06,5.97623147721395,6.87741390764896e-09,300
"trend_monthFE_demand","2SLS_manual_HC3","month02",0.00193393055258597,1.44200278436725e-05,134.114203769348,1.83823230047896e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month03",0.0019058429436168,1.420641914838e-05,134.153647285152,1.6941048132826e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month04",0.00198785440358985,1.48525003557397e-05,133.839714255361,3.24675491014054e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month05",0.00194703083805935,1.45399037859726e-05,133.909471941468,2.80943448359019e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month06",0.00192090811134231,1.43423542516846e-05,133.932552329523,2.67816565738744e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month07",0.00188567144314224,1.40737577846702e-05,133.984929397904,2.40264852953093e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month08",0.00182275198123712,1.35891402241683e-05,134.132987898334,1.76812112098243e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month09",0.00173026914273027,1.2873924573601e-05,134.401062616005,1.01564432827712e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month10",0.00172930562160838,1.28736835113754e-05,134.32873505709,1.1793874552229e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month11",0.00170492378867259,1.26907536260345e-05,134.34377806965,1.14327953271308e-257,300
"trend_monthFE_demand","2SLS_manual_HC3","month12",0.00161144706042099,1.19684106887823e-05,134.64169155988,6.18041661853766e-258,300
"trend_monthFE_supply","2SLS_manual_HC3","(Intercept)",0.0277014131958754,0.000202821695605971,136.580128240778,1.16606353353504e-259,300
"trend_monthFE_supply","2SLS_manual_HC3","log_price",0.334980970610247,0.0024518146857736,136.625729731508,1.06278351162253e-259,300
"trend_monthFE_supply","2SLS_manual_HC3","log_permit",0.213012726467448,0.00156409561645681,136.189069406123,2.58619153426084e-259,300
"trend_monthFE_supply","2SLS_manual_HC3","months_supply",0.146274697276453,0.00106785646655285,136.979736376595,5.17859910739728e-260,300
"trend_monthFE_supply","2SLS_manual_HC3","log_construction_cost",0.138353238978918,0.0010123980687322,136.658932145311,9.9340664900354e-260,300
"trend_monthFE_supply","2SLS_manual_HC3","trend",-0.0113784293573588,0.000809477984821504,-14.0565025494398,2.23806331344867e-34,300
"trend_monthFE_supply","2SLS_manual_HC3","trend2",2.64851734318441e-05,2.95422723618528e-06,8.96517813776698,4.38684684262614e-17,300
"trend_monthFE_supply","2SLS_manual_HC3","month02",0.00242167219226137,1.77333695378998e-05,136.560183166869,1.21434685879699e-259,300
"trend_monthFE_supply","2SLS_manual_HC3","month03",0.00238647677133758,1.74725639250731e-05,136.584234664781,1.15636433946676e-259,300
"trend_monthFE_supply","2SLS_manual_HC3","month04",0.00248937052315538,1.82514995716043e-05,136.392657128752,1.70782285365286e-259,300
"trend_monthFE_supply","2SLS_manual_HC3","month05",0.00243820404370446,1.78707769829154e-05,136.435256622328,1.56590838181372e-259,300
"trend_monthFE_supply","2SLS_manual_HC3","month06",0.00240547718866233,1.76290853075555e-05,136.449347580806,1.52162041937821e-259,300
"trend_monthFE_supply","2SLS_manual_HC3","month07",0.00236132006654899,1.730141609775e-05,136.481317668331,1.42574284279067e-259,300
"trend_monthFE_supply","2SLS_manual_HC3","month08",0.00228244317731242,1.67124244035525e-05,136.571638093828,1.18637655685947e-259,300
"trend_monthFE_supply","2SLS_manual_HC3","month09",0.00216648821857691,1.58444331961336e-05,136.734977626438,8.51147653333352e-260,300
"trend_monthFE_supply","2SLS_manual_HC3","month10",0.00216532174780233,1.58410049939892e-05,136.690932716956,9.30844387223667e-260,300
"trend_monthFE_supply","2SLS_manual_HC3","month11",0.00213478423801068,1.56165527093135e-05,136.700094940769,9.13671106533292e-260,300
"trend_monthFE_supply","2SLS_manual_HC3","month12",0.00201758605770555,1.47396675172848e-05,136.881381845254,6.32240024268489e-260,300
