"equation","method","term","estimate","standard_error","statistic","p_value","N","preferred_role"
"yoy_growth_demand","2SLS_manual_HC3","(Intercept)",-0.166284659533021,0.0231377588400032,-7.18672282319448,5.91299116296873e-12,288,"YoY preferred transformation because ADF tests indicate nonstationarity in levels."
"yoy_growth_demand","2SLS_manual_HC3","d12_log_price",2.75799717283743,0.426351828384807,6.46882923731286,4.32886957390996e-10,288,"YoY preferred transformation because ADF tests indicate nonstationarity in levels."
"yoy_growth_demand","2SLS_manual_HC3","d12_mortgage_rate",-0.056168095323518,0.0144440684644284,-3.88866166494876,0.000125670322879489,288,"YoY preferred transformation because ADF tests indicate nonstationarity in levels."
"yoy_growth_demand","2SLS_manual_HC3","d12_log_income",1.94923499699034,0.416828018754751,4.67635309836791,4.52723802415745e-06,288,"YoY preferred transformation because ADF tests indicate nonstationarity in levels."
"yoy_growth_demand","2SLS_manual_HC3","d12_unrate",0.0233605622242064,0.0113483916063798,2.05849102097197,0.0404583263751444,288,"YoY preferred transformation because ADF tests indicate nonstationarity in levels."
"yoy_growth_supply","2SLS_manual_HC3","(Intercept)",0.052405385886275,0.0225623075045088,2.32269619921643,0.0209046892852929,288,"YoY preferred transformation because ADF tests indicate nonstationarity in levels."
"yoy_growth_supply","2SLS_manual_HC3","d12_log_price",-1.42030488260658,0.82023941377062,-1.73157356103809,0.0844392698749518,288,"YoY preferred transformation because ADF tests indicate nonstationarity in levels."
"yoy_growth_supply","2SLS_manual_HC3","d12_log_permit",0.913317689878858,0.176748407301193,5.16733193709913,4.49085468493616e-07,288,"YoY preferred transformation because ADF tests indicate nonstationarity in levels."
"yoy_growth_supply","2SLS_manual_HC3","d12_months_supply",-0.037167918887736,0.0128148441453259,-2.90038009563252,0.00401945672582738,288,"YoY preferred transformation because ADF tests indicate nonstationarity in levels."
"yoy_growth_supply","2SLS_manual_HC3","d12_log_construction_cost",0.0330748286203898,0.301230032048701,0.109799240120395,0.912646412629519,288,"YoY preferred transformation because ADF tests indicate nonstationarity in levels."
